,amp,attack,blue,bpm,cutoff,green,initial_offset,instrument,mix_echo,mix_reverb,mod_phase,mod_range,number,order,pan,red,release,rootnote,rootoctave,total_offset
0,0.9151673075056573,0.5659598860419142,0.24237547822842676,0.4827985350465559,0.9404012010108999,0.15625717179702625,0.2275978420411261,0.9050323874247936,0.9683486732195675,0.7982832907206465,0.0569135079707378,0.06050066163955492,0.6637337114993274,0.7822629478099592,0.6143053421195588,0.6059509597584313,0.559922802707234,0.8486370916046606,0.3568877246064963,0.9280751764773925
1,0.5583133543801173,0.1272999111485943,0.1664232639666554,0.1024381845739849,0.9206493686077643,0.14977933543285304,0.12671398449331694,0.7757945974096023,0.9598425422719984,0.19846719953402836,0.3327826139310053,0.404198703862367,0.9550440295957295,0.5130809539378416,0.15528763821800995,0.1979832608514034,0.9385407156653632,0.4944071894317079,0.010412491998419093,0.163374423869592
2,0.4152771278335434,0.5824307035078871,0.19641818669491629,0.46713786417120295,0.4275730473246784,0.4051003888718896,0.6772637040000923,0.7600092173722273,0.37972714673973085,0.5748750192134326,0.1302359789739772,0.1710825108746854,0.896957222597317,0.22872011265159542,0.4007656895224765,0.13860898790356224,0.9328360778294201,0.5981782042564955,0.6827752977972666,0.007264910937592073
3,0.7785478354311053,0.677765585809665,0.6883744589285371,0.7977839532320798,0.42903345258689185,0.29744677659502594,0.40102925514360277,0.41164233083932666,0.49764786278712236,0.5312564508825661,0.9634035643098067,0.5546334343993565,0.7776285579449319,0.49438542031895705,0.9486141679126614,0.20032505157814773,0.1907624092777659,0.6977894566841891,0.3654392163173913,0.9332001435293321
4,0.011712263452366312,0.37575276844489736,0.5001660686612825,0.12153944536151629,0.2378100660528394,0.00856747974465255,0.14858144596335865,0.11728048981461203,0.29666879130644563,0.506415412414106,0.18575484066632308,0.3098841621865177,0.5008262611877626,0.6832568040165912,0.49174973963101143,0.5035630612452752,0.06836560313004092,0.22428585965223036,0.5722903601567961,0.358445242107715
5,0.25148440081310186,0.5224425862157732,0.12140961706325715,0.24537141826749986,0.2721065529213714,0.9671948320780562,0.34330148613285294,0.20690951864107487,0.9665685743184622,0.33597076358730116,0.2487721310237262,0.671406998502681,0.7764552637902375,0.8493010566681195,0.6476129802962811,0.6698780937901796,0.055635676342897455,0.44461728040652637,0.6533227923544986,0.43363233571427484
6,0.0427302502056256,0.8268008003042673,0.6219965472764964,0.9263074754749612,0.6424090982782142,0.6997286886788834,0.23263352198067777,0.008866398395033226,0.9632622705325072,0.736107392258671,0.4339728662808444,0.6105415054603242,0.08516619684387716,0.04467829580870131,0.9892484538196553,0.147296796264356,0.3199232329616226,0.0006519049889803785,0.11109200823642684,0.9805352874643699
7,0.7002081193954602,0.373208557778933,0.974750944214384,0.7502991710486858,0.2815203376040153,0.1416164475510686,0.19107419376275536,0.6384976115404823,0.38611599585100165,0.7578064568369761,0.13335602325152207,0.5508795423928121,0.012112675734697653,0.04940755642828698,0.12581725712157021,0.6643969543365589,0.3375188255681867,0.22645179928024528,0.3097041193229012,0.12791345596975312
8,0.9756709948193849,0.2687320539571303,0.8087803398862449,0.18419495966546373,0.652522716052355,0.7430734360747479,0.9416186285811781,0.17690363609101445,0.24134071296237425,0.9485315561404085,0.4818956502144348,0.6302246802068562,0.5509244778995849,0.4976328365781437,0.08686453357126256,0.1334653635759453,0.08174213870946168,0.13506802040474564,0.22967729384765478,0.2846906808540032
9,0.7490578014108408,0.3077928834509538,0.3688610428130379,0.46198151988749336,0.6507351422120345,0.37786372585727823,0.8400698574489371,0.052096890347841374,0.458748357402621,0.6282141775746929,0.4759196753845004,0.07104161766783224,0.9723294562180922,0.48564993792976185,0.8637640708283916,0.030983693778302124,0.6054038341150817,0.7831615388335585,0.15111680127641092,0.11904226863151668
